count,mean,std,min,25%,50%,75%,max,criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,n_estimators,n_jobs,random_id,train_size,nb_yes,algo
87355.0,9.260834098282846,7.797395867349772,0.00025389154969566937,3.546422831479271,7.45587446997382,12.945467578651911,150.19770127673067,mse,14,2,1,0.0,auto,,,1e-07,0,48,-1,0.32814025908550115,75000,1,rf
87355.0,9.240558774246136,7.71085239412946,7.247782609939343e-05,3.51403478913961,7.475211432517775,12.956393647476403,125.12906586858605,mse,14,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.0006359937158568751,75000,1,rf
87355.0,9.21070847007497,7.726813247995316,0.0003438478828649362,3.5060497726423145,7.443081350765417,12.935093678910325,151.7220204071169,mse,14,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.6237699406334722,75000,1,rf
87355.0,9.228810779941744,7.8498675339432475,3.820853491636755e-05,3.4792944913541435,7.40148174267658,12.894277275524928,147.24551737270474,mse,14,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.5206864096086838,75000,1,rf
87355.0,8.832245543286948,7.5324513025146915,6.617946620600028e-05,3.316477719112477,7.0645239422031745,12.36925465114059,162.51578820397506,mse,15,2,1,0.0,auto,None,None,1e-07,0,48,-1,0.14121780482575275,75000,1,rf
87355.0,8.871420957621849,7.563892299569616,7.23778600591415e-05,3.3479844340738536,7.108954782055808,12.405925658851665,146.9299710529487,mse,15,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.8292421979249529,75000,1,rf
87355.0,8.859799912471063,7.57770597898246,0.00010966050360031584,3.3395644907195066,7.096348821251568,12.431849589730925,170.28139153028437,mse,15,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.3970263562411507,75000,1,rf
87355.0,8.838244549664665,7.470615102262392,0.00018120679995581074,3.338199899835589,7.082952454226656,12.377081925601127,126.4313015513524,mse,15,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.611334149966706,75000,1,rf
87355.0,8.578062975870557,7.537193937515813,5.6958081291770935e-05,3.1773743565115944,6.814550259443927,11.925782584027173,170.13945527887776,mse,16,2,1,0.0,auto,None,None,1e-07,0,48,-1,0.9523576212291108,75000,1,rf
87355.0,8.598528726184698,7.330450534359372,1.602974270917947e-05,3.21929041747621,6.8750475880578215,12.007405695936345,133.8247075106313,mse,16,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.22163517627184226,75000,1,rf
87355.0,8.52044149906039,7.362549945675998,0.00017498083042260463,3.1694702203825917,6.769338691151945,11.873853025009325,139.95409513663955,mse,16,6,1,0.0,auto,None,None,1e-07,0,48,-1,0.8901980836310858,75000,1,rf
87355.0,8.54188505527684,7.403575025571484,0.00024747692277420026,3.1610659423777223,6.803231560708569,11.951469062380717,149.62034996235815,mse,16,8,1,0.0,auto,None,None,1e-07,0,48,-1,0.8685942422491777,75000,1,rf
87355.0,8.323167008551046,7.195025983839418,0.0001591246865195797,3.0659848600555284,6.628271368743846,11.62944980334081,171.36199933703261,mse,17,2,1,0.0,auto,None,None,1e-07,0,48,-1,0.22739832474888788,75000,1,rf
87355.0,8.370790034743838,7.295889868083406,0.00014420494176599225,3.0847873618977264,6.636125487022138,11.712857987583815,148.06804900087087,mse,17,4,1,0.0,auto,None,None,1e-07,0,48,-1,0.37337317515832114,75000,1,rf
