,0
DEBUG_INFO,998.8712317568979
RANDOMIZE_BASE,634.5876317188499
X86_NEED_RELOCS,634.5876317184654
COMPILE_TEST,615.7782902854823
CLKSRC_MMIO,615.7782899021662
ROCKCHIP_GRF,615.7782898400524
TIMER_PROBE,614.966342112174
TIMER_OF,614.9663421105902
STMP_DEVICE,564.9570932542288
DEBUG_INFO_DWARF4,523.1751762329667
MODULES,509.73315898485265
STRICT_MODULE_RWX,509.7331580900237
GDB_SCRIPTS,507.96518169549677
GCC_PLUGINS,469.40027898599044
SOC_BUS,458.3654581579283
MTK_INFRACFG,456.8184077112968
UBSAN_SANITIZE_ALL,447.147805087673
FB_DDC,409.12897590438274
FB_SVGALIB,402.317132693453
RELOCATABLE,398.28210785611793
KASAN_OUTLINE,397.84601322161086
KASAN,397.84601318881624
DRM_TTM,390.12121158963606
INTEL_GTT,371.10041810866437
GCOV_PROFILE_ALL,367.8196270156226
VGASTATE,360.3664381071497
TIFM_CORE,354.71641443086014
RAPIDIO_ENUM_BASIC,350.10983277859077
LPC_ICH,345.143801747277
LPC_SCH,345.00215880785396
RENESAS_DMA,344.4951212486087
DRM_KMS_HELPER,342.73872221377775
INTEL_MEI,338.4649808126716
DRM,336.1044949842153
PM_GENERIC_DOMAINS,335.1111369926974
MFD_VX855,334.54740138633804
HID_LED,330.8214623942801
GCC_PLUGIN_SANCOV,330.8040620344886
MFD_INTEL_LPSS,323.49615272158036
ACPI_VIDEO,322.98241066316854
CB710_CORE,319.6048356948711
LOCALVERSION_AUTO,318.43148890772164
PRIME_NUMBERS,317.44526037596626
MFD_RDC321X,317.31190313354426
IOSF_MBI,314.00210293865916
MTK_TIMER,311.2347720708152
SH_TIMER_TMU,311.07338404847053
ASM9260_TIMER,311.0080219527062
DIGICOLOR_TIMER,310.91305454665417
OXNAS_RPS_TIMER,310.7498228441949
PRIMA2_TIMER,310.3038883424673
I2C_DESIGNWARE_CORE,310.25692599453714
OWL_TIMER,310.0955061923278
INTEGRATOR_AP_TIMER,309.5426667585656
CLKSRC_PISTACHIO,309.49282147535854
ARMV7M_SYSTICK,309.2448562589487
VT8500_TIMER,309.20066982259056
CLPS711X_TIMER,309.14126169979
RANDOMIZE_MEMORY,309.138482303116
CLKSRC_DBX500_PRCMU,308.55932349867965
CLKSRC_SAMSUNG_PWM,308.2797469836227
MXS_TIMER,308.05958693815666
BCM2835_TIMER,308.0084041572981
ATMEL_ST,307.9419910412521
BCM_KONA_TIMER,307.9201644999506
RENESAS_OSTM,307.4697262596856
SUN4I_TIMER,307.3800830862243
AT91_SOC_ID,306.9159734300579
SH_TIMER_CMT,306.83094206928024
MESON6_TIMER,306.4833420346161
ASYNC_TX_ENABLE_CHANNEL_SWITCH,306.2839010753558
FTTMR010_TIMER,306.1423709354114
CLKSRC_ST_LPC,305.81170505926144
EM_TIMER_STI,305.6611758748854
H8300_TMR16,305.6078621875092
UX500_SOC_ID,305.0627849761047
FB_I740,304.98659465384685
H8300_TPU,304.8657392203995
CLKSRC_PXA,304.86156468883166
MTK_SCPSYS,304.8223814317994
NSPIRE_TIMER,303.650333684031
SOC_BRCMSTB,303.62209932560853
ARC_TIMERS,303.4178615585185
SOC_SAMSUNG,303.3399588190234
SOC_RENESAS,303.2486597454975
TI_DMA_CROSSBAR,303.1212229831662
FB_ARK,303.0464190335932
SH_TIMER_MTU2,303.0008082285332
SYSC_RCAR,302.82869544813275
FSL_FTM_TIMER,302.6620941114645
H8300_TMR8,302.002114200884
SOC_ZTE,301.82782980741473
INTEL_SOC_DTS_IOSF_CORE,301.8130778583803
SENSORS_ADT7X10,301.3429244938506
QCOM_EBI2,300.75448134922226
ATLAS7_TIMER,300.6220529041412
ACPI_BUTTON,299.69727562214126
DRM_DEBUG_MM_SELFTEST,298.5031233700031
FB_SAVAGE,298.01630182485286
SENSORS_K10TEMP,297.7687290604976
LEDS_LP55XX_COMMON,297.753359204968
FB_MATROX,297.42182878994987
SERIAL_MCTRL_GPIO,297.3907898764139
I2C_ALI1563,296.7666037513336
XFS_DEBUG,295.86252970244146
FB_MB862XX,295.6509798179751
DRM_VGEM,295.5390729426038
I2C_DESIGNWARE_PCI,295.13173929685377
I2C_DESIGNWARE_PLATFORM,294.8144014889113
BLK_MQ_PCI,294.4807102812842
INPUT_SPARSEKMAP,294.1860838095421
FB_NEOMAGIC,293.98785398540156
NVME_CORE,293.74975349046525
FB_SM712,293.0287355489086
I2C_ISMT,292.3005663772366
I2C_SIS96X,291.80601618825074
FB_CARMINE,291.780357301941
HAVE_CLK_PREPARE,290.9458166420765
PCI_DIRECT,290.9458142294638
PCI_DOMAINS,290.94581419003094
PCI_BUS_ADDR_T_64BIT,290.94581384797755
COMMON_CLK,290.9458131933498
CLKDEV_LOOKUP,290.94581293039613
PCI,290.94581277051475
HAVE_CLK,290.9458127097001
PMC_ATOM,290.94581270499236
SCSI_SAS_ATTRS,290.8588082373733
DRM_I915,290.8530853796376
FB_RADEON,290.693558025412
SENSORS_K8TEMP,290.0411670901941
I2C_SIS630,289.9964810101247
SENSORS_SIS5595,289.86359578207197
SENSORS_ADM1026,289.8499375587056
DRM_RADEON,289.50444284084364
SENSORS_I5K_AMB,289.3311504914849
FB_S3,289.227393208466
FB_RIVA,288.9741389883253
FB_LE80578,288.5063302145198
I2C_ALI15X3,287.9660299528379
GPIO_MB86S7X,287.9367889352262
LOCK_STAT,287.3620470562413
SCSI_SPI_ATTRS,287.16085669849565
ARMADA375_USBCLUSTER_PHY,286.75852539670694
FB_3DFX,286.27975479135154
FB_CIRRUS,286.0397599890263
I2C_I801,285.9879148788585
RMI4_CORE,285.82048257596387
GPIO_MPC8XXX,285.5605516937836
SENSORS_VIA686A,285.5388273008676
GPIO_ZX,285.51384628182285
FB_BOOT_VESA_SUPPORT,285.2538262249333
RAID_ATTRS,284.68706808405426
FB_PM3,284.1935644110404
FB_VIA,284.04558489206454
COMMON_CLK_CDCE706,283.9926930346233
FB_SIS,283.4606697458588
COMMON_CLK_CS2000_CP,283.45265975908546
HID,283.0317584296497
DRM_NOUVEAU,283.0148120554855
SENSORS_LM95234,282.8359063713599
AGP,282.77984219721816
IIO_ST_SENSORS_I2C,282.27558706401385
IIO_MS_SENSORS_I2C,282.1974717010065
RAPIDIO,281.82014525460914
PUNIT_ATOM_DEBUG,281.810928951333
DRM_AMDGPU,281.2972526051959
MEDIA_ATTACH,281.21171238693097
STACKDEPOT,280.92899032306127
FB_CYBER2000,280.8493657353742
SENSORS_I5500,280.199217940557
COMMON_CLK_SI5351,280.19098954659347
I2C_ALI1535,280.03951413394145
IBM_ASM,279.9530681314985
DRM_CIRRUS_QEMU,279.67334598474673
SERIO_LIBPS2,278.74107840535885
FB_TRIDENT,278.60088493883165
I2C_NFORCE2,278.6004331240071
SENSORS_LM85,278.5913186780221
