,0
DEBUG_INFO,210363199.62791622
DEBUG_INFO_SPLIT,104684431.3285646
DEBUG_INFO_REDUCED,92930076.89354348
UBSAN_SANITIZE_ALL,37257654.75105875
RANDOMIZE_BASE,37216003.84873552
KASAN,17182213.333161823
GCOV_PROFILE_ALL,16145532.352817476
XFS_DEBUG,7165541.029348829
DRM_I915,6134273.288192935
IP_SCTP,3312451.1840097234
ASUS_WIRELESS,2993991.4016211885
UBSAN_ALIGNMENT,2770776.303620684
CFG80211,2559555.827501507
JME,2558470.034404794
SFC_FALCON,2516994.6565737533
BT,2481395.75233674
PCI_STUB,2201424.9077862063
NET_SWITCHDEV,2071991.0371320185
DRM_AMDGPU,1980266.5814925882
SCSI_SAS_ATTRS,1965854.6026751609
SENSORS_I5K_AMB,1963881.1777934108
CONSTRUCTORS,1932630.2619697466
SND_HWDEP,1877631.616915776
KCOV_INSTRUMENT_ALL,1824778.6911039308
TCM_PSCSI,1772910.5436998475
DRM,1753894.9238256542
FB_CARMINE,1734687.9400352389
SP5100_TCO,1730010.116323577
TARGET_CORE,1709490.3499242733
DP83867_PHY,1653705.8981369263
MMU_NOTIFIER,1650070.5928028822
MFD_TWL4030_AUDIO,1639801.3132343334
DELL_SMO8800,1629614.064476086
USB_NET_RNDIS_HOST,1600667.3605905885
BLK_DEV_IDETAPE,1556560.7595085402
MAX30102,1546449.9044546909
BRIDGE,1493287.6380074897
RESET_HISI,1474020.0527934246
DVB_STV0297,1462978.0781765052
NIC7018_WDT,1446349.726000383
DNS_RESOLVER,1427134.2905386528
EXT4_FS,1426128.1183231093
SND_RIPTIDE,1400228.1258738383
SERIAL_8250_RT288X,1379016.1375448147
SND_SOC_RT5616,1376018.705493704
NET_VENDOR_TEHUTI,1352192.6340103114
CRYPTO_CAMELLIA_AESNI_AVX2_X86_64,1347960.9592506352
TRACER_MAX_TRACE,1334964.5957288616
VZ89X,1329109.402305593
CRYPTO_DEFLATE,1309621.6068113467
SERIAL_RP2,1291252.752276987
MFD_VX855,1251943.1251036434
KEYBOARD_BCM,1233061.6855759898
DEBUG_INFO_DWARF4,1217268.108584041
I2C_MLXCPLD,1201101.2276341757
RAPIDIO_TSI57X,1172443.0287309838
MTD_BLOCK_RO,1162879.138601994
DRM_HISI_HIBMC,1134828.8078686122
MTD_NAND_ECC,1125192.2724191456
LOCK_STAT,1107252.7788263143
IRDA_DEBUG,1067350.9837783359
NFC_PN533,1059144.8568942898
UIO_PDRV_GENIRQ,1030787.2643425026
DRM_VMWGFX,1021449.7735425201
SND_SOC_TAS571X,1004320.1418282575
HOTPLUG_CPU,1003385.5958086457
ACPI_SLEEP,999611.4770629158
WMI_BMOF,987560.2365651499
BLK_DEV_BSGLIB,963744.8497584283
INTEL_MEI_ME,957333.0680797542
CONNECTOR,957271.6621233473
MAC_PARTITION,940864.3998800198
XFRM_MIGRATE,920237.2977598917
SND_CS4281,916424.0348518074
KGDB_LOW_LEVEL_TRAP,907095.5302635941
LLC,893690.3963962024
I2C_THUNDERX,879285.8201589037
SND_SOC_SIGMADSP,852572.8263993191
INPUT_EVBUG,846478.5910436376
RDMA_RXE,833753.7426842505
CPUMASK_OFFSTACK,830791.7275589348
RBTREE_TEST,810544.0309993124
IRQ_POLL,803727.3883916744
F2FS_FS,800055.4793403952
HID_ORTEK,782554.5098026979
PRINTK_NMI,769387.2218807021
FSI_SCOM,756460.1781958208
MPLS,754533.7513931098
CALGARY_IOMMU,747618.3009119265
JBD2,742688.7448745574
SYNCLINK_CS,735755.9132324173
X86_64_SMP,732933.5504643988
CHARGER_BQ24190,732661.0159815449
I2C_EG20T,717760.9298708393
INTEL_SOC_DTS_THERMAL,715517.9384278533
HID_TIVO,711870.4259593282
HAVE_ARCH_KASAN,711384.5571340191
NVM_RRPC,698344.846016585
STACK_TRACER,688644.8943129663
NET_VENDOR_MELLANOX,681802.4222746167
LEDS_LP5521,675188.8795639984
SRAM,668570.7969268118
SERIAL_ALTERA_UART,667303.238621596
BLK_MQ_PCI,664801.1843487476
SENSORS_DS620,642649.4545051289
I82092,642146.4253456369
XFS_FS,640016.2569924193
NV_TCO,630030.821001906
PRINTK_TIME,622235.654014399
VIDEO_TUNER,620547.4989713106
GENERIC_IRQ_EFFECTIVE_AFF_MASK,617621.880122519
TI_DAC7512,599491.1114910685
HW_RANDOM_VIA,583400.669545443
BLK_DEV_AMD74XX,581869.8845775302
MEMSTICK_R592,559380.4433024536
REGULATOR_VIRTUAL_CONSUMER,556364.7520171691
USB_SWITCH_FSA9480,556229.5181085183
CRAMFS,552501.4104206876
DS1682,534060.8888335204
SENSORS_MAX197,533683.6148919011
LEDS_LP5523,532149.255800251
PROVE_RCU,528693.070752361
COMPAT_NETLINK_MESSAGES,524460.3161276021
FIREWIRE_NOSY,518384.58807733655
ATM_BR2684,515101.6417967446
NVME_FC,503852.4306781617
SND_SOC_COMPRESS,501012.83358779165
TRACE_IRQFLAGS,485965.616681934
NLS_CODEPAGE_860,479952.3207083934
COMMON_CLK_HI3519,474874.73724122025
SND_SOC_FSL_ESAI,463747.054251055
I2C_AMD756,451924.7410165828
PM_SLEEP_SMP,450785.4041565728
ARCNET_1201,430537.35697703436
PRINTK,424006.9971042357
OVERLAY_FS,423626.4252150651
SENSORS_TMP103,419619.35314464633
VOP_BUS,417530.7353558798
ACPI_WMI,409739.0884157342
NLS_MAC_GREEK,402317.47027982323
MFD_SM501_GPIO,397572.18763867044
SERIO_ARC_PS2,393814.731036744
GREENASIA_FF,393002.33449865726
SND_PCI,389144.8000056913
AMD_XGBE_HAVE_ECC,388236.71601257095
PAGE_OWNER,385855.77007095475
LEDS_LM355x,378664.78613298066
ICS932S401,377451.23600126075
FB_I740,363829.7505888563
JFS_FS,359676.3462044327
PRINT_QUOTA_WARNING,356010.8918113934
VT,355276.23298203194
INPUT_GP2A,354624.58778883825
FIB_RULES,346492.76110633195
USERIO,344271.0586554273
I2C_SIS96X,341378.8149555473
CRYPTO_CCM,340400.50522787386
IBM_ASM,340090.3210374675
L2TP,334668.15356594324
ROCKCHIP_THERMAL,332076.8723040401
PREVENT_FIRMWARE_BUILD,322598.64502943854
SCHED_MC,312460.5188032346
PPS_CLIENT_KTIMER,308957.88058269926
DMA_API_DEBUG,305732.6033518553
ACPI_DOCK,302140.19846553716
RTC_DRV_RX8581,285023.40782649117
DEBUG_OBJECTS_TIMERS,284745.2298949088
LEDS_LP3952,281046.4609281092
MFD_TPS65910,279839.72306783835
MEMSTICK_JMICRON_38X,278877.485238013
SQUASHFS,278504.6545228025
TMPFS_POSIX_ACL,274769.6122233267
RING_BUFFER_ALLOW_SWAP,266004.40278695914
SENSORS_MAX6642,242803.5598594634
DRM_UDL,238505.1178110905
GPIO_LYNXPOINT,236119.82951167395
INTEL_SOC_PMIC_BXTWC,226088.30922874398
LEDS_INTEL_SS4200,224469.99530167313
BATTERY_SBS,219967.54544648653
RTC_DRV_MAX8997,216986.50772699923
MINIX_FS,216166.17621616813
OVERLAY_FS_INDEX,212719.87141104933
DUMMY_CONSOLE,211611.96684647337
KASAN_OUTLINE,211259.17373959467
SSB_PCMCIAHOST_POSSIBLE,208805.44245265322
NLS_CODEPAGE_437,208391.29735388834
SENSORS_ADT7X10,203842.68394754422
EDAC_I7300,194631.48316755577
KGDB,191191.2541387637
TRACE_CLOCK,189749.0343708353
OPT3001,186986.89853829687
COMMON_CLK_SCPI,171682.85555607712
RCU_TORTURE_TEST,171637.66858534593
OPENVSWITCH,170410.00560961032
GPIO_ML_IOH,167343.47452800244
REGULATOR_ACT8865,162905.41144797832
SND_I2S_HI6210_I2S,161344.0126659753
FS_IOMAP,159937.90080156087
DRM_NOUVEAU,155532.97647543115
LPC_SCH,155452.04155022532
CRYPTO_RMD160,150995.8039796009
LEDS_PCA9532_GPIO,150583.2409116291
EEPROM_MAX6875,148163.91930906914
GPIO_PCH,140104.40329388168
IOSCHED_NOOP,138900.37471321833
NEED_PER_CPU_KM,136515.0304965294
DUMMY_IRQ,131644.21510893237
WARN_ALL_UNSEEDED_RANDOM,129984.2185771893
CFG80211_DEBUGFS,128110.87927910058
NET_VENDOR_AMD,127807.52706000587
PPS_CLIENT_GPIO,127534.78716390855
SND_SOC_WM8804_I2C,124605.43840435821
MFD_RTSX_PCI,114054.15145475429
HW_RANDOM_TPM,113164.16240712839
REGULATOR_TPS65910,111970.9504005804
CB710_CORE,104445.34821158714
RING_BUFFER_BENCHMARK,102649.89841508804
REGULATOR_PALMAS,100495.62854160361
INTEL_RDT_A,98186.77971810797
TEST_SORT,95648.60986172756
PROCESSOR_SELECT,94320.10635808675
INTEL_PMC_IPC,89784.90270015081
SND_SOC_IMG_SPDIF_IN,85595.34381055001
BROKEN_ON_SMP,84889.01584899143
REED_SOLOMON,83572.09799236765
SND_SOC_INNO_RK3036,83561.74061195742
MQ_IOSCHED_DEADLINE,81523.23412300508
MTD_PHYSMAP,80111.37892379487
NLS_ISO8859_7,71874.42199845896
EXT2_FS,71087.22292424193
MMC_SDHCI_PLTFM,70482.24917451992
SYSTEM_BLACKLIST_KEYRING,69059.93510232022
SBITMAP,68179.67002008359
PROVE_LOCKING,68000.86837001244
EXYNOS_AUDSS_CLK_CON,63783.12048309436
PMIC_OPREGION,63654.33436184267
PPP_BSDCOMP,62985.80950621725
SERIAL_UARTLITE,61355.22638685642
ACPI_BUTTON,58536.950984635594
EXTCON_USB_GPIO,56776.042287214936
REGULATOR_TPS65217,55553.14522606529
PWM_LPSS,51009.99159925072
W83977F_WDT,47186.87429942898
BOOT_PRINTK_DELAY,47184.81062370061
DRM_PL111,46923.98949135898
NET_KEY,46474.8751280085
PEAQ_WMI,46173.58720340826
UP_LATE_INIT,43807.592741988425
ACPI_HED,40381.450352130996
SENSORS_IT87,37500.934211361564
STM,37031.685131462735
MTD_NAND,34335.611116470216
OF_OVERLAY,33987.71426032863
TRACER_SNAPSHOT,32316.213386211202
SSB_SPROM,30242.364258447604
VIRT_DRIVERS,29995.537786746394
MUTEX_SPIN_ON_OWNER,29257.125262475973
I2C_DESIGNWARE_PCI,28917.93466144918
SENSORS_EMC6W201,28190.72164084946
IOSCHED_CFQ,24830.571942452025
HIGH_RES_TIMERS,23171.235197157926
