,0
LOCKDEP_SUPPORT,1.1036719791764911e+20
GENERIC_CMOS_UPDATE,8.881496922649705e+19
GENERIC_EARLY_IOREMAP,7.1710237547541725e+19
GENERIC_FIND_FIRST_BIT,6.820909654211611e+19
X86_LOCAL_APIC,6.500781243116336e+19
SMP,4.283795654313405e+19
GENERIC_IRQ_MIGRATION,3.75153494159709e+19
GENERIC_IRQ_EFFECTIVE_AFF_MASK,3.614413024548338e+19
TEXTSEARCH_BM,2.74219293872247e+19
TEXTSEARCH_FSM,2.7421929387220074e+19
GENERIC_IOMAP,1.847529056497785e+19
UP_LATE_INIT,1.7445131150535905e+19
GENERIC_STRNCPY_FROM_USER,1.0530865251393073e+19
GENERIC_CLOCKEVENTS_MIN_ADJUST,1.0261576073365465e+19
SCSI,9.564269401217278e+18
SCSI_DMA,9.564269401216262e+18
SCSI_MOD,9.564269401212598e+18
TINY_SRCU,8.488561230241188e+18
TINY_RCU,8.336538498627127e+18
STACKTRACE_SUPPORT,7.961269911545488e+18
USB_ISP1760_DUAL_ROLE,7.272808577557417e+18
SND_SOC_WM1250_EV1,7.118276466571091e+18
SND_SOC_WM0010,7.118276466534861e+18
NEED_PER_CPU_KM,7.078042060135234e+18
GENERIC_CPU_AUTOPROBE,6.781420568526213e+18
SBUS,6.387691075614254e+18
SND_SOC_PCM3008,6.220268502479093e+18
NEED_SG_DMA_LENGTH,4.5566556387461996e+18
SND_SOC_WM9712,4.0537349723264133e+18
GENERIC_IRQ_SHOW,3.981779579543525e+18
USB_ISP1760_GADGET_ROLE,3.8470396467337093e+18
USB_ISP1761_UDC,3.847039646726821e+18
GENERIC_PENDING_IRQ,3.6245157774708337e+18
GENERIC_STRNLEN_USER,3.538193686469759e+18
X86_64_SMP,3.4344741439967365e+18
USB_ISP1760_HOST_ROLE,3.425768930830926e+18
USB_ISP1760_HCD,3.425768930828536e+18
BROKEN_ON_SMP,3.339572785591374e+18
RTC_DRV_BFIN,2.749032286743831e+18
QUEUED_RWLOCKS,2.737448041838979e+18
GENERIC_SMP_IDLE_THREAD,2.532615660588831e+18
PATA_PXA,2.4207109098635796e+18
PCI_OLPC,2.3396832008824873e+18
NEED_DMA_MAP_STATE,2.231303045839472e+18
QUEUED_SPINLOCKS,2.197718864495703e+18
WATCHDOG_SUN4V,2.173636409326998e+18
SPI_BCM53XX,2.1657092510635766e+18
X86_E_POWERSAVER,2.1223002884111741e+18
COH901327_WATCHDOG,2.0562822883447252e+18
TRANSPARENT_HUGE_PAGECACHE,2.0362272491389655e+18
SCSI_NCR_D700,2.0018042387125391e+18
X86_POWERNOW_K7_ACPI,1.9686327662290335e+18
ARM_TEGRA186_CPUFREQ,1.918944474300473e+18
BINFMT_SHARED_FLAT,1.8975318912354732e+18
QCOM_SMSM,1.8750658403751805e+18
ORION_WATCHDOG,1.8353669097134595e+18
MMC_JZ4740,1.8132771339340838e+18
RWSEM_SPIN_ON_OWNER,1.7966117235565097e+18
COMPAT,1.7756382971207772e+18
ADV7393_1XMEM,1.745983661334909e+18
PPC_PASEMI_CPUFREQ,1.7025839178374915e+18
DASD,1.693178910932139e+18
FB_OMAP2_CONNECTOR_DVI,1.6799720551973773e+18
LOCK_SPIN_ON_OWNER,1.672789242207213e+18
ARM_CCI400_PORT_CTRL,1.6705109143622162e+18
SPI_MPC52xx_PSC,1.6698272624040044e+18
DMASOUND_ATARI,1.6695782541394248e+18
QCOM_CLK_SMD_RPM,1.6636366712234865e+18
VIRT_CPU_ACCOUNTING_NATIVE,1.6630143090044918e+18
SPI_S3C24XX,1.6360691620222554e+18
USB_G_DBGP_PRINTK,1.6268134467326794e+18
ARCH_INLINE_READ_LOCK_IRQ,1.6237700753416643e+18
CAN_RCAR_CANFD,1.619837523282026e+18
HAVE_ATOMIC_IOMAP,1.5927235716575014e+18
CLK_R8A7792,1.544374114911959e+18
IIO_BUFFER_DMA,1.5388023972200607e+18
ARM_SCPI_CPUFREQ,1.537406660693294e+18
HAVE_HARDENED_USERCOPY_ALLOCATOR,1.5321003228929393e+18
PCIEASPM_POWER_SUPERSAVE,1.5260154973116183e+18
MSNDPIN_DIGITAL,1.5252941503661568e+18
HAVE_KVM,1.5230312523936806e+18
CPU_IDLE_MULTIPLE_DRIVERS,1.4971320835454653e+18
ARM_BIG_LITTLE_CPUFREQ,1.4864311777847913e+18
HW_RANDOM_BCM63XX,1.4584382480739794e+18
HAVE_ARCH_MMAP_RND_COMPAT_BITS,1.446211552303491e+18
GENERIC_TIME_VSYSCALL,1.4422141015808448e+18
FB_TGA,1.441027119318226e+18
RTC_DRV_DS1689,1.4382418117412293e+18
CRYPTO_DRBG_HMAC,1.438213465907322e+18
NOKIA_MODEM,1.429465435157192e+18
KMEMCHECK,1.4286195881057183e+18
ARCH_INLINE_READ_UNLOCK_BH,1.428413560740964e+18
ARCH_WANT_HUGE_PMD_SHARE,1.4192598530665037e+18
PCIEASPM_POWERSAVE,1.415903453641529e+18
BINFMT_AOUT,1.4010676018496742e+18
QCOM_SCM_32,1.3966809921759905e+18
SAMPLE_HW_BREAKPOINT,1.3953895663837893e+18
IRQ_PREFLOW_FASTEOI,1.3920730975391882e+18
REGCACHE_COMPRESSED,1.3886010522764577e+18
FB_OMAP2_PANEL_TPO_TD028TTEC1,1.3715865546411812e+18
INLINE_SPIN_UNLOCK_IRQ,1.368604489050753e+18
BCMA_POSSIBLE,1.3664938555870518e+18
SND_SOC_TLV320AIC32X4_SPI,1.3652806017788982e+18
SND_SOC_ADAU1977_SPI,1.3613524764296873e+18
TOUCHSCREEN_W90X900,1.358033387033878e+18
MUTEX_SPIN_ON_OWNER,1.3552880322458685e+18
SND_SOC_AU1XAC97C,1.3550401564628157e+18
B43_PIO,1.3543217196239972e+18
XGENE_PMU,1.350076706136328e+18
BLK_DEV_XPRAM,1.347490040920238e+18
DMASOUND_PAULA,1.3418634825247437e+18
MMC_MESON_GX,1.3400943952594053e+18
VFIO_PLATFORM_AMDXGBE_RESET,1.3349394868870019e+18
BINFMT_EM86,1.33135481802932e+18
FB_PLATINUM,1.3307679815360182e+18
PINCTRL_SUN4I_A10,1.3263667526189983e+18
RADIO_CADET,1.324357817301775e+18
NOHIGHMEM,1.320612666326067e+18
SCSI_LASI700,1.3188944841657523e+18
VIRT_CPU_ACCOUNTING,1.3171287159988892e+18
HAVE_DYNAMIC_FTRACE,1.316391483345879e+18
SND_PXA2XX_SOC_CORGI,1.3116932802051922e+18
SGI_NEWPORT_CONSOLE,1.3076442963090245e+18
ARCH_INLINE_READ_TRYLOCK,1.305498058348499e+18
ATARI_FLOPPY,1.3038914581397458e+18
HW_RANDOM_OMAP,1.299267248595258e+18
HW_RANDOM_HISI,1.2989563686211502e+18
NET,1.2917344516208348e+18
HW_RANDOM_IXP4XX,1.2903037509542356e+18
GENERIC_TIME_VSYSCALL_OLD,1.289113610183139e+18
MMC_SDHCI_MSM,1.2860892534165071e+18
TI_EMIF,1.2772710541436675e+18
GENERIC_IRQ_SHOW_LEVEL,1.2756353564644132e+18
FB_VALKYRIE,1.27157737745155e+18
PATA_PALMLD,1.26684500447067e+18
KMEMCHECK_ONESHOT_BY_DEFAULT,1.256891450006834e+18
ADB_MACII,1.2448615263223524e+18
ARM_U8500_CPUIDLE,1.2436245150108938e+18
MAC_FLOPPY,1.2377728754200576e+18
BACKLIGHT_OMAP1,1.2295629271045458e+18
SOUND_MSNDPIN,1.2276138471683635e+18
INPUT_M68K_BEEP,1.2262089820608195e+18
MVEBU_DEVBUS,1.2259673790989325e+18
SPI_ATMEL_QUADSPI,1.225382672317584e+18
SND_PXA2XX_SOC_PALM27X,1.2245934193778115e+18
ARM_STI_CPUFREQ,1.2228554220341642e+18
NOUVEAU_PLATFORM_DRIVER,1.2188401115323832e+18
SND_SOC_MT8173_MAX98090,1.217979423829013e+18
SCSI_AHA1740,1.2150694690626412e+18
HISAX_ASUSCOM,1.2129706416744648e+18
UNINLINE_SPIN_UNLOCK,1.2117069696362796e+18
MMC_S3C_HW_SDIO_IRQ,1.2104875066032197e+18
RADIO_RTRACK,1.2045957566530068e+18
USB_G_WEBCAM,1.1995032668803863e+18
SND_SOC_AD193X_SPI,1.1978875540441912e+18
CRYPTO_HASH,1.1952247900753236e+18
CLK_R8A7740,1.189074111104517e+18
SAMPLE_VFIO_MDEV_MTTY,1.1881289820772846e+18
NET_VENDOR_CIRRUS,1.186443712005023e+18
HAVE_VIRT_CPU_ACCOUNTING,1.1831606285149266e+18
FB_Q40,1.1828058859624174e+18
TI_SCI_PROTOCOL,1.18005409378872e+18
THP_SWAP,1.1798191234663565e+18
IO_DELAY_NONE,1.173808386264266e+18
SLOB,1.1731239091192845e+18
CAN_TSCAN1,1.1718800225525274e+18
MMP_DISP_CONTROLLER,1.17006672187494e+18
ARM_PSCI_CHECKER,1.163394973438365e+18
TI_DAVINCI_CPDMA,1.1628442939761495e+18
SAMPLE_RPMSG_CLIENT,1.1612636709618578e+18
HAVE_OPTPROBES,1.1589835441931374e+18
IOSCHED_NOOP,1.1536224049673293e+18
RD_XZ,1.1522403163143674e+18
DECOMPRESS_XZ,1.1522403163138479e+18
FB_OMAP2_PANEL_NEC_NL8048HL11,1.1518996561931101e+18
PCI_DIRECT,1.1506747717118431e+18
SND_SOC_ADAU1781_SPI,1.1491157270092152e+18
SCx200_GPIO,1.1472319883410333e+18
SND_SOC_AU1XPSC_AC97,1.1415496878988521e+18
HP_SDC_RTC,1.1385918744325242e+18
HAVE_LIVEPATCH,1.1381451460918319e+18
INLINE_SPIN_TRYLOCK_BH,1.1322177373837978e+18
TOUCHSCREEN_WM97XX_ZYLONITE,1.1299142979974547e+18
PCI_GOMMCONFIG,1.129884503378612e+18
SND_S3C2412_SOC_I2S,1.127271630890961e+18
ARM_S3C24XX_CPUFREQ_IODEBUG,1.126814180633236e+18
SND_SOC_TLV320AIC26,1.1245924836884104e+18
PKEY,1.1216954544643749e+18
SND_AICA,1.1170561905741294e+18
MMC_MOXART,1.1145024474229487e+18
CRYPTO_DEV_UX500_CRYP,1.1138060388514062e+18
HP_SDC,1.1130994340565821e+18
CRYPTO_DEV_NX_COMPRESS_POWERNV,1.1121165713364329e+18
HOTPLUG_PCI_POWERNV,1.1108202770351316e+18
SND_MMP_SOC_BROWNSTONE,1.110417606708829e+18
CRYPTO_DEV_FSL_CAAM_CRYPTO_API,1.1054515193915123e+18
NFC_ST21NFCA,1.1053587040140792e+18
NFC_ST21NFCA_I2C,1.1053587040114048e+18
FB_SA1100,1.1037132079862724e+18
VIDEO_IMX,1.1021734528825444e+18
ARCH_ENABLE_SPLIT_PMD_PTLOCK,1.1012493162002924e+18
SND_SPEAR_SPDIF_OUT,1.1005982801718047e+18
ARMADA_375_CLK,1.1000080153769335e+18
PATA_RB532,1.0969025141073427e+18
PC8736x_GPIO,1.0931870397300872e+18
SC6600_JOY,1.0913974761162564e+18
SCSI_UFS_QCOM,1.0911629434252407e+18
SOUND_OSS,1.0871502894794424e+18
ARM_CCI5xx_PMU,1.0862438655237645e+18
FB_OMAP2_PANEL_LGPHILIPS_LB035Q02,1.0852290823758076e+18
CAN_BFIN,1.08493543245757e+18
SAMPLE_BLACKFIN_GPTIMERS,1.0843205304003521e+18
NVEC_PAZ00,1.0843120850082016e+18
DEFAULT_SECURITY_TOMOYO,1.0787567348512914e+18
DEFAULT_SECURITY_DAC,1.078756734844706e+18
DEFAULT_SECURITY_SMACK,1.078756734843934e+18
DEFAULT_SECURITY_APPARMOR,1.0787567348403393e+18
PINCTRL_SPEAR1340,1.0781597213069696e+18
SSB_POSSIBLE,1.0757829672810152e+18
ARM_S3C2412_CPUFREQ,1.0670946520920023e+18
IOMMU_DMA,1.0614903624082134e+18
CRYPTO_842,1.0601919747830953e+18
SPI_ADI_V3,1.0595432917791159e+18
PROC_SYSCTL,1.05914560597901e+18
SYSCTL,1.0591456059789829e+18
HISAX_TELEINT,1.0568936755711214e+18
SGI_IOC3_ETH,1.0566573915784704e+18
SPI_LOOPBACK_TEST,1.0536500176677052e+18
DEFAULT_DEADLINE,1.0523682082125404e+18
DEFAULT_NOOP,1.0523682082120878e+18
PARPORT_AMIGA,1.0520313327745811e+18
SCSI_NCR53C406A,1.0496149284494639e+18
FB_OMAP2_ENCODER_OPA362,1.0480028737724237e+18
FB_LITTLE_ENDIAN,1.046552753478644e+18
AGP_NVIDIA,1.042025600379989e+18
SND_AOA,1.0399956204427342e+18
CRYPTO_DEV_NIAGARA2,1.0377182184329347e+18
SND_ARM,1.0370464178935008e+18
SOUND_PAS,1.0365362307001509e+18
SPI_BFIN_SPORT,1.0315649089713034e+18
