,0
DEBUG_INFO,156399020.92618707
DEBUG_INFO_SPLIT,86104125.12363939
DEBUG_INFO_REDUCED,72478958.13843682
UBSAN_SANITIZE_ALL,37236441.00313596
RANDOMIZE_BASE,17266645.308741257
X86_NEED_RELOCS,17266645.308741257
GCOV_PROFILE_ALL,17099573.689109217
JME,15868310.824244106
6LOWPAN_NHC_IPV6,15822122.267114399
SND_CMIPCI,15281224.20873528
SND_HDA_CODEC_CMEDIA,15166000.804680003
FB_TFT_SH1106,14495177.099894967
SND_SOC_PCM512x_SPI,14466537.157907575
DEBUG_INFO_DWARF4,14369145.97237231
SND_INTEL8X0M,14368621.89524863
SFC_FALCON,14146666.698196504
PATA_RDC,14080401.98737308
GPIO_ACPI,13914162.436774937
NE2K_PCI,13855186.512100851
PATA_CYPRESS,13823390.800119482
USB_NET_HUAWEI_CDC_NCM,13823152.376767538
ATH6KL_DEBUG,13753165.065635579
PCI_ATMEL,13723668.642055016
NFC_PN544_MEI,13656426.49766094
HOSTAP_CS,13602103.857426926
KS8851,13514588.976414382
SND_SOC_WM8523,13423842.909895122
NFC_MEI_PHY,13416684.452154212
SND_RIPTIDE,13334540.139820838
USB_NET_DM9601,13318980.528953815
DWMAC_DWC_QOS_ETH,13222854.79637326
FB_INTEL,13189063.189229492
ASUS_NB_WMI,13101612.16489306
SFC_MCDI_LOGGING,13099194.265479418
SND_EMU10K1X,13016454.03239117
USB_DWC3_OF_SIMPLE,13001214.193991045
MSI_LAPTOP,12903474.207950244
SND_MIXART,12817560.44107519
SND_YMFPCI,12778184.898580171
LIQUIDIO_VF,12747626.709722893
HISAX_AVM_A1_CS,12684825.917653693
COMEDI_DAS08_CS,12648239.90275023
LIBERTAS,12362165.357880468
GPIO_UCB1400,12198331.397602567
ATL1C,12139396.467664734
LCD_ILI9320,12081561.979046952
QED,12056223.189074133
9P_FS,12053708.947495813
SND_HDSP,12046179.257474337
NVME_TARGET_RDMA,11982397.015878713
SND_ENS1371,11963659.11568424
MT7601U,11926556.360886386
CARL9170_HWRNG,11880509.023557646
SFC_MCDI_MON,11839216.011551077
NETFILTER_XT_MATCH_RATEEST,11836421.07546332
KASAN_OUTLINE,11763198.14581647
KASAN,11763198.14581647
SKGE_DEBUG,11750557.283689909
B43_PHY_HT,11717442.526229072
RDMA_RXE,11707520.207388008
MACB_PCI,11505849.736327527
FB_TFT_ILI9320,11433566.059354823
GDB_SCRIPTS,11424759.263651896
SND_SOC_RT298,11364845.511464162
USB_NET_CDC_MBIM,11349576.188937921
USB_NET_CDC_EEM,11316217.94506117
IPW2100_DEBUG,11302608.268336255
DVB_USB_RTL28XXU,11271396.514385456
USB_GL860,11261995.151114076
I40E_DCB,11197772.98483022
NF_NAT_H323,11164656.304136654
DVB_USB_ANYSEE,11159035.943507887
SCHED_MC_PRIO,11117145.392220316
NFS_V4_1_MIGRATION,11092229.591353986
SND_HWDEP,11060460.748891717
USB_ZD1201,11037424.843686797
SND_AU8810,10993914.276759764
SND_SOC_CS42L73,10982302.297687128
IWLDVM,10961850.9089756
AMD_XGBE_HAVE_ECC,10950373.009687584
DVB_NGENE,10921500.806582917
INFINIBAND_USNIC,10898389.939759772
INFINIBAND_OCRDMA,10864577.146928066
USB_NET_CDC_NCM,10859509.527747769
WL18XX,10849276.52933603
USB_S2255,10812517.300547263
USB_NET_AX8817X,10772090.543145502
IEEE802154_FAKELB,10739727.452996371
ASUS_WMI,10660552.546116574
NF_CONNTRACK_AMANDA,10653398.262322867
ATM_NICSTAR_USE_IDT77105,10628481.082518041
NETFILTER_XT_MATCH_HASHLIMIT,10582234.57486593
SCSI_CHELSIO_FCOE,10547952.452423178
BXT_WC_PMIC_OPREGION,10532147.56431861
COMEDI_CB_PCIDAS,10525128.708626062
USBIP_HOST,10513427.218067912
NFC_PN533,10496017.262307659
CHARGER_CPCAP,10494180.009441422
ATH10K_DEBUGFS,10448104.355720358
NETFILTER_XT_TARGET_RATEEST,10430352.95987946
SND_HDSPM,10410788.048444524
PCMCIA_ATMEL,10367162.074972456
USB_STORAGE,10351204.666807221
COMEDI_SSV_DNP,10336459.691792458
ATM_FORE200E_USE_TASKLET,10296355.856245397
SCSI_LPFC,10286749.39660025
SND_SOC_WM8804_I2C,10273812.410286631
SND_SOC_CS42L52,10238148.917775938
NET_EMATCH_META,10230425.882918863
MAC80211_STA_DEBUG,10215572.712022692
TYPHOON,10191808.81386446
NET_VENDOR_RDC,10182705.246984826
VIDEO_GO7007_USB_S2250_BOARD,10155444.955276098
OCFS2_FS_USERSPACE_CLUSTER,10133909.653769335
NET_VENDOR_BROCADE,10107136.356153466
HSU_DMA_PCI,10054573.637023782
FB_TFT_S6D02A1,10044851.653068006
USB_F_UAC2,10043385.799402902
MAC80211_NOINLINE,10038004.352424663
NETFILTER_XT_TARGET_NFLOG,10032767.20704007
SND_SOC_INTEL_BYT_CHT_NOCODEC_MACH,10020464.220876344
ATH9K_STATION_STATISTICS,10012564.15234167
STMMAC_PCI,9977762.18458847
LITELINK_DONGLE,9962901.158471126
IPW2200_PROMISCUOUS,9952107.786924407
SND_SOC_WM8903,9911558.450219937
USB_EPSON2888,9908831.9547562
